TITLE     = ""
VARIABLES = "Z<sub>fs</sub>  [m]"
"I<sub>V</sub>  [-]"
ZONE T="VDI slightly rough (lower bound)"
 I=9, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.010090027E+002 1.174450014E-002
 2.484869995E+002 1.444080006E-002
 2.003780060E+002 1.939509995E-002
 1.509459991E+002 2.435070090E-002
 1.010719986E+002 2.930689976E-002
 4.943249893E+001 3.803610057E-002
 3.354349899E+001 4.333290085E-002
 2.339220047E+001 5.013189837E-002
 1.059270000E+001 6.183639914E-002
ZONE T="VDI m‰ﬂig rau (untere Grenze)"
 I=7, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.001260071E+002 4.153800011E-002
 2.502519989E+002 4.687130079E-002
 2.003780060E+002 5.107320100E-002
 1.518280029E+002 5.866780132E-002
 1.010719986E+002 6.664180011E-002
 4.899119949E+001 8.329109848E-002
 1.147539997E+001 1.123699993E-001
ZONE T="VDI rau (untere Grenze)"
 I=10, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.005669861E+002 7.698690146E-002
 2.506940002E+002 8.269730210E-002
 2.003780060E+002 8.953949809E-002
 1.509459991E+002 1.012829989E-001
 1.015130005E+002 1.137809977E-001
 7.238339996E+001 1.236179993E-001
 4.899119949E+001 1.360879987E-001
 2.780579948E+001 1.511960030E-001
 1.588899994E+001 1.651619971E-001
 1.015130043E+001 1.738419980E-001
ZONE T="VDI very rough (lower bound)"
 I=11, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.058640137E+002 1.116760001E-001
 2.489279938E+002 1.222969964E-001
 2.003780060E+002 1.310230047E-001
 1.509459991E+002 1.435209960E-001
 1.015130005E+002 1.601669937E-001
 7.282469940E+001 1.741520017E-001
 5.031529999E+001 1.877519935E-001
 3.663299942E+001 2.013429999E-001
 2.824720001E+001 2.122890055E-001
 2.250950050E+001 2.288880050E-001
 1.765449905E+001 2.458640039E-001
