TITLE     = ""
VARIABLES = "Z<sub>fs</sub>  [m]"
"L<sub>uxfs</sub> [m]"
ZONE T="z<sub>0</sub> <math>;</math> 10 m (Theorie)"
 I=21, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.407093048E+002 2.609007263E+002
 1.887229309E+002 2.235533295E+002
 1.679002380E+002 2.072798920E+002
 1.461071167E+002 1.909153290E+002
 1.316398773E+002 1.787682037E+002
 1.171154251E+002 1.662927856E+002
 1.082204132E+002 1.593256073E+002
 1.003164825E+002 1.511692352E+002
 8.702104950E+001 1.387800140E+002
 6.931352234E+001 1.197025604E+002
 5.315541458E+001 1.015569763E+002
 4.356003189E+001 8.876034546E+001
 3.684315872E+001 8.015802765E+001
 3.028855705E+001 7.097658539E+001
 2.652426529E+001 6.537631226E+001
 2.315475082E+001 6.041213608E+001
 2.034123230E+001 5.582769012E+001
 1.753396797E+001 5.091766739E+001
 1.441457748E+001 4.508546829E+001
 1.242524147E+001 4.098679733E+001
 1.034455204E+001 3.665134048E+001
ZONE T="z<sub>0</sub> <math>;</math> 1.0 m (Theorie)"
 I=15, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.422620544E+002 2.857936401E+002
 2.023380890E+002 2.606034851E+002
 1.627084656E+002 2.352691040E+002
 1.371918030E+002 2.180643005E+002
 1.120774307E+002 1.981709442E+002
 8.514366150E+001 1.731139374E+002
 6.306840897E+001 1.497324524E+002
 4.584013367E+001 1.294921112E+002
 3.877283859E+001 1.196355438E+002
 3.384766388E+001 1.112744827E+002
 2.531077003E+001 9.687873077E+001
 2.048268700E+001 8.832206726E+001
 1.710703850E+001 8.027594757E+001
 1.324499798E+001 7.198371887E+001
 1.038497448E+001 6.371945953E+001
ZONE T="z<sub>0</sub> <math>;</math> 0.1 m (Theorie)"
 I=10, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.422741699E+002 2.952433777E+002
 1.923852692E+002 2.744365234E+002
 1.457029572E+002 2.541894836E+002
 1.082745361E+002 2.308550415E+002
 7.870289612E+001 2.110025024E+002
 4.629666901E+001 1.804583435E+002
 3.119537926E+001 1.601002197E+002
 2.101969719E+001 1.415778809E+002
 1.489744949E+001 1.272928085E+002
 1.029501724E+001 1.136893845E+002
ZONE T="z<sub>0</sub> <math>;</math> 0.01 m (Theorie)"
 I=9, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.422814331E+002 3.030264282E+002
 1.706474915E+002 2.898141785E+002
 1.183102036E+002 2.762455139E+002
 7.972554016E+001 2.607077332E+002
 5.440793610E+001 2.476706848E+002
 3.507855606E+001 2.344330444E+002
 2.191321754E+001 2.204189453E+002
 1.528879166E+001 2.101097412E+002
 1.027033901E+001 2.008844757E+002
ZONE T="Naturdaten (geringes z<sub>0</sub>)"
 I=54, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 6.027183228E+002 1.360537415E+002
 4.911207275E+002 1.918147430E+002
 3.650849304E+002 2.252543030E+002
 3.030658264E+002 2.401034851E+002
 1.834789581E+002 2.664349060E+002
 1.755405426E+002 2.612087708E+002
 1.760767517E+002 2.392502289E+002
 1.540488892E+002 1.091431122E+002
 1.539780426E+002 7.705966187E+001
 1.471981964E+002 4.448201294E+002
 1.006913605E+002 2.322513123E+002
 1.003817062E+002 2.454516602E+002
 1.000730057E+002 2.610964966E+002
 9.190909576E+001 2.895795288E+002
 8.551313782E+001 4.180286560E+002
 9.269364929E+001 1.392902679E+002
 7.889122772E+001 1.190269547E+002
 7.641431427E+001 9.263434601E+001
 6.440878296E+001 6.727172089E+001
 6.523459625E+001 7.274062347E+001
 5.220352554E+001 1.952654724E+002
 5.041960144E+001 1.895873718E+002
 5.106809998E+001 2.124677124E+002
 4.669887161E+001 9.726896667E+001
 4.685416794E+001 1.100703812E+002
 4.028744888E+001 1.651327972E+002
 4.119760132E+001 1.981590576E+002
 4.109267807E+001 3.114441528E+002
 3.121098137E+001 2.334925079E+002
 3.032795906E+001 1.889570923E+002
 3.079277229E+001 1.218097000E+002
 3.039414597E+001 9.029661560E+001
 2.935432816E+001 8.486485291E+001
 2.962800407E+001 7.355180359E+001
 2.834810066E+001 7.620903015E+001
 2.556182480E+001 1.306876373E+002
 2.563016510E+001 9.078462982E+001
 2.023998260E+001 1.510574188E+002
 2.344670486E+001 5.624459839E+001
 1.835606384E+001 1.719390411E+002
 1.740069199E+001 2.022369385E+002
 1.829522324E+001 1.519436951E+002
 1.647657967E+001 1.034367142E+002
 1.821344376E+001 5.633409882E+001
 1.635690308E+001 4.958706284E+001
 1.635984802E+001 5.666235352E+001
 1.557862854E+001 1.863059082E+002
 1.526953983E+001 8.179777527E+001
 1.239880371E+001 8.889536285E+001
 1.541236305E+001 7.229030609E+001
 1.239037514E+001 5.334231949E+001
 1.035334873E+001 6.911625671E+001
 1.016723156E+001 1.269749756E+002
 1.010701752E+001 1.674123688E+002
ZONE T="Naturdaten (hohes z<sub>0</sub>)"
 I=37, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 7.555303955E+002 4.970472336E+001
 6.046743164E+002 1.447314606E+002
 4.865307007E+002 2.033685760E+002
 3.662697144E+002 2.396213531E+002
 3.069454346E+002 2.579382019E+002
 2.556399536E+002 3.031355286E+002
 2.042572021E+002 2.547518616E+002
 1.777556763E+002 2.431892700E+002
 1.410056610E+002 1.032114716E+002
 1.266706009E+002 1.140822830E+002
 1.215894241E+002 1.237136993E+002
 1.099845581E+002 2.121556091E+002
 1.085640182E+002 1.603678131E+002
 9.249827576E+001 3.060565796E+002
 9.340734863E+001 3.881182251E+002
 8.982110596E+001 1.495932617E+002
 7.691723633E+001 1.115117569E+002
 6.764544678E+001 2.346816711E+002
 6.107789230E+001 1.026463928E+002
 6.440878296E+001 6.727172089E+001
 4.674465942E+001 2.028912201E+002
 4.672689819E+001 1.528795013E+002
 4.656596756E+001 1.225390778E+002
 4.730140686E+001 1.126121902E+002
 3.030734253E+001 1.130171967E+002
 3.049491692E+001 1.011869736E+002
 2.679860878E+001 1.209092178E+002
 7.550998535E+002 3.235245895E+001
 1.013155594E+002 2.093002930E+002
 5.071897125E+001 1.414745789E+002
 4.525214005E+001 1.048037949E+002
 2.345678902E+001 7.761494446E+001
 1.844862747E+001 6.543321228E+001
 1.531158924E+001 6.024863815E+001
 1.130392456E+001 4.545532608E+001
 1.645402336E+001 3.700303650E+001
 1.014894772E+001 3.280956268E+001
ZONE T="wind tunnel (Bernd)"
 I=3, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.450000000E+001 1.486699982E+002
 7.950000000E+001 1.835700073E+002
 1.800000000E+002 1.718899994E+002
ZONE T="wind tunnel (new)"
 I=7, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.000000000E+001 1.557359924E+002
 6.000000000E+001 2.650140076E+002
 9.000000000E+001 2.736029968E+002
 1.200000000E+002 2.489060059E+002
 1.500000000E+002 1.831790009E+002
 1.800000000E+002 1.733359985E+002
 2.100000000E+002 1.855229950E+002
ZONE T="ZONE 001"
 I=7, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.000000000E+001 1.541445007E+002
 6.000000000E+001 2.454389954E+002
 9.000000000E+001 2.837497559E+002
 1.200000000E+002 2.414174957E+002
 1.500000000E+002 1.929989929E+002
 1.800000000E+002 1.901219940E+002
 2.100000000E+002 1.856999969E+002
ZONE T="ZONE 001"
 I=7, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.000000000E+001 1.478535004E+002
 6.000000000E+001 1.852185059E+002
 9.000000000E+001 2.125484924E+002
 1.200000000E+002 2.071875000E+002
 1.500000000E+002 1.925234985E+002
 1.800000000E+002 2.069100037E+002
 2.100000000E+002 1.997955017E+002
ZONE T="ZONE 001"
 I=4, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.000000000E+001 1.598370056E+002
 9.000000000E+001 1.862920074E+002
 1.500000000E+002 1.788849945E+002
 2.100000000E+002 1.722539978E+002
ZONE T="ZONE 001"
 I=4, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 3.000000000E+001 1.441130066E+002
 9.000000000E+001 2.314880066E+002
